Atlanta Hawks,NBA,1950,2018,69,5411,2698,2713,.499,46,11,0,1
Boston Celtics,NBA/BAA,1947,2018,72,5585,3295,2290,.590,54,31,9,17
Brooklyn Nets,NBA/ABA,1968,2018,51,4081,1763,2318,.432,26,5,2,2
Charlotte Hornets,NBA,1989,2018,28,2188,961,1227,.439,10,0,0,0
Chicago Bulls,NBA,1967,2018,52,4155,2159,1996,.520,35,9,6,6
Cleveland Cavaliers,NBA,1971,2018,48,3830,1796,2034,.469,21,6,4,1
Dallas Mavericks,NBA,1981,2018,38,3010,1522,1488,.506,21,3,2,1
Denver Nuggets,NBA/ABA,1968,2018,51,4081,2029,2052,.497,33,10,0,0
Detroit Pistons,NBA/BAA,1949,2018,70,5473,2667,2806,.487,41,11,5,3
Golden State Warriors,NBA/BAA,1947,2018,72,5581,2676,2905,.479,33,10,4,5
Houston Rockets,NBA,1968,2018,51,4074,2125,1949,.522,31,5,4,2
Indiana Pacers,NBA/ABA,1968,2018,51,4081,2088,1993,.512,33,9,1,3
Los Angeles Clippers,NBA,1971,2018,48,3828,1528,2300,.399,13,2,0,0
Los Angeles Lakers,NBA/BAA,1949,2018,70,5474,3269,2205,.597,60,32,18,16
Memphis Grizzlies,NBA,1996,2018,23,1779,745,1034,.419,10,0,0,0
Miami Heat,NBA,1989,2018,30,2353,1222,1131,.519,19,12,5,3
Milwaukee Bucks,NBA,1969,2018,50,3992,2037,1955,.510,29,13,2,1
Minnesota Timberwolves,NBA,1990,2018,29,2273,892,1381,.392,8,1,0,0
New Orleans Pelicans,NBA,2003,2018,16,1238,574,664,.464,6,1,0,0
New York Knicks,NBA/BAA,1947,2018,72,5580,2743,2837,.492,42,8,4,2
Oklahoma City Thunder,NBA,1968,2018,51,4074,2196,1878,.539,29,11,4,1
Orlando Magic,NBA,1990,2018,29,2273,1101,1172,.484,14,5,2,0
Philadelphia 76ers,NBA,1950,2018,69,5409,2767,2642,.512,47,11,5,3
Phoenix Suns,NBA,1969,2018,50,3995,2155,1840,.539,29,6,2,0
Portland Trail Blazers,NBA,1971,2018,48,3829,2045,1784,.534,33,5,3,1
Sacramento Kings,NBA/BAA,1949,2018,70,5474,2503,2971,.457,29,5,0,1
San Antonio Spurs,NBA/ABA,1968,2018,51,4082,2461,1621,.603,45,22,6,5
Toronto Raptors,NBA,1996,2018,23,1777,799,978,.450,9,4,0,0
Utah Jazz,NBA,1975,2018,44,3502,1879,1623,.537,26,9,2,0
Washington Wizards,NBA,1962,2018,57,4556,2065,2491,.453,28,8,4,1
